session_id	 user_id	 study_name	 session_date	 session_status	 creation_date	 last_update_date	  previous_session_id	 previous_session_schema	 referrer	  study_url	 user_agent
15516442	11971162	alexandersanchez.exemplars11	17Mar2022 20:38:17	null	17Mar2022 20:38:17	NULL 	15516418	r	https://www.bing.com/	/user/alexandersanchez/exemplars11/alexandersanchez.exemplars11.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.39
15516444	11971154	alexandersanchez.exemplars11	17Mar2022 20:45:21	L	17Mar2022 20:38:55	17Mar2022 20:45:21	15516414	r	https://www.google.com/	/user/alexandersanchez/exemplars11/alexandersanchez.exemplars11.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36
15516461	11971182	alexandersanchez.exemplars11	17Mar2022 20:47:56	R	17Mar2022 20:47:34	17Mar2022 20:47:56	2663890759	s	https://wd1-media.myworkdaycdn.com/	/user/alexandersanchez/exemplars11/alexandersanchez.exemplars11.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36
15516486	11971172	alexandersanchez.exemplars11	17Mar2022 20:55:47	null	17Mar2022 20:55:47	NULL 	15516443	r	https://www.projectimplicit.net/	/user/alexandersanchez/exemplars11/alexandersanchez.exemplars11.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36
15516513	11971188	alexandersanchez.exemplars11	17Mar2022 21:04:56	null	17Mar2022 21:04:56	NULL 	2663891153	s	https://university.apple.com/	/user/alexandersanchez/exemplars11/alexandersanchez.exemplars11.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15
15516525	11971160	alexandersanchez.exemplars11	17Mar2022 21:06:30	R	17Mar2022 21:06:06	17Mar2022 21:06:30	15516523	r	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars11/alexandersanchez.exemplars11.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36
15516548	11971179	alexandersanchez.exemplars11	17Mar2022 21:14:44	R	17Mar2022 21:14:25	17Mar2022 21:14:44	15516460	r	https://nationalu.brightspace.com/	/user/alexandersanchez/exemplars11/alexandersanchez.exemplars11.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.39
15516553	11971200	alexandersanchez.exemplars11	17Mar2022 21:16:32	null	17Mar2022 21:16:32	NULL 	2663891356	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars11/alexandersanchez.exemplars11.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15
15516594	11971214	alexandersanchez.exemplars11	17Mar2022 21:48:39	L	17Mar2022 21:36:41	17Mar2022 21:48:39	2663891800	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars11/alexandersanchez.exemplars11.expt.xml	Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36
15516602	11971216	alexandersanchez.exemplars11	17Mar2022 21:44:45	R	17Mar2022 21:42:59	17Mar2022 21:44:45	2663891922	s	https://www.google.com/	/user/alexandersanchez/exemplars11/alexandersanchez.exemplars11.expt.xml	Mozilla/5.0 (X11; CrOS x86_64 14388.61.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.107 Safari/537.36
