characteristic	 value	 user_id	 study_name	 
politicalid	-3	7280	alexandersanchez.exemplars11
birthyear	1967	7280	alexandersanchez.exemplars11
income	2	7280	alexandersanchez.exemplars11
class	3	7280	alexandersanchez.exemplars11
religionid	3	7280	alexandersanchez.exemplars11
occupation	37-1000	7280	alexandersanchez.exemplars11
birthmonth	4	7280	alexandersanchez.exemplars11
engfluency	4	7280	alexandersanchez.exemplars11
education	5	7280	alexandersanchez.exemplars11
ethnicity	5	7280	alexandersanchez.exemplars11
religion	eastern orthodox	7280	alexandersanchez.exemplars11
zipcode	gu47 6df	7280	alexandersanchez.exemplars11
sex	m	7280	alexandersanchez.exemplars11
citizenship	uk	7280	alexandersanchez.exemplars11
residence	uk	7280	alexandersanchez.exemplars11
politicalid	-1	51961	alexandersanchez.exemplars11
religionid	1	51961	alexandersanchez.exemplars11
birthyear	1946	51961	alexandersanchez.exemplars11
class	4	51961	alexandersanchez.exemplars11
engfluency	4	51961	alexandersanchez.exemplars11
income	4	51961	alexandersanchez.exemplars11
birthmonth	5	51961	alexandersanchez.exemplars11
ethnicity	5	51961	alexandersanchez.exemplars11
occupation	55-1000	51961	alexandersanchez.exemplars11
sex	f	51961	alexandersanchez.exemplars11
religion	unitarian universalist	51961	alexandersanchez.exemplars11
citizenship	us	51961	alexandersanchez.exemplars11
politicalid	0	65979	alexandersanchez.exemplars11
birthyear	1981	65979	alexandersanchez.exemplars11
occupation	25-9999	65979	alexandersanchez.exemplars11
religionid	3	65979	alexandersanchez.exemplars11
zipcode	37130	65979	alexandersanchez.exemplars11
engfluency	4	65979	alexandersanchez.exemplars11
ethnicity	5	65979	alexandersanchez.exemplars11
education	6	65979	alexandersanchez.exemplars11
birthmonth	7	65979	alexandersanchez.exemplars11
income	99	65979	alexandersanchez.exemplars11
religion	churches of christ	65979	alexandersanchez.exemplars11
sex	m	65979	alexandersanchez.exemplars11
citizenship	us	65979	alexandersanchez.exemplars11
residence	us	65979	alexandersanchez.exemplars11
birthmonth	1	306733	alexandersanchez.exemplars11
birthyear	1969	306733	alexandersanchez.exemplars11
ethnicityomb	2	306733	alexandersanchez.exemplars11
politicalid	2	306733	alexandersanchez.exemplars11
religionid	3	306733	alexandersanchez.exemplars11
occupation	31-9000	306733	alexandersanchez.exemplars11
engfluency	4	306733	alexandersanchez.exemplars11
income	4	306733	alexandersanchez.exemplars11
education	6	306733	alexandersanchez.exemplars11
raceomb	6	306733	alexandersanchez.exemplars11
zipcode	98029	306733	alexandersanchez.exemplars11
sex	f	306733	alexandersanchez.exemplars11
religion	other	306733	alexandersanchez.exemplars11
citizenship	us	306733	alexandersanchez.exemplars11
residence	us	306733	alexandersanchez.exemplars11
ethnicityomb	.	381691	alexandersanchez.exemplars11
zipcode	02186	381691	alexandersanchez.exemplars11
politicalid	1	381691	alexandersanchez.exemplars11
major	11	381691	alexandersanchez.exemplars11
dayofbirth	15	381691	alexandersanchez.exemplars11
birthyear	1971	381691	alexandersanchez.exemplars11
religionid	2	381691	alexandersanchez.exemplars11
genoccupation	25	381691	alexandersanchez.exemplars11
occupation	25-2000	381691	alexandersanchez.exemplars11
raceomb	6	381691	alexandersanchez.exemplars11
birthmonth	7	381691	alexandersanchez.exemplars11
education	7	381691	alexandersanchez.exemplars11
religion	catholic	381691	alexandersanchez.exemplars11
sex	m	381691	alexandersanchez.exemplars11
relfamily	roman catholic	381691	alexandersanchez.exemplars11
residence	sm	381691	alexandersanchez.exemplars11
citizenship	us	381691	alexandersanchez.exemplars11
dayofbirth	.	676662	alexandersanchez.exemplars11
ethnicityomb	.	676662	alexandersanchez.exemplars11
education	10	676662	alexandersanchez.exemplars11
birthyear	1986	676662	alexandersanchez.exemplars11
birthmonth	2	676662	alexandersanchez.exemplars11
politicalid	2	676662	alexandersanchez.exemplars11
religionid	2	676662	alexandersanchez.exemplars11
genoccupation	25-9999	676662	alexandersanchez.exemplars11
occupation	25-9999	676662	alexandersanchez.exemplars11
raceomb	5	676662	alexandersanchez.exemplars11
major	9	676662	alexandersanchez.exemplars11
zipcode	94305	676662	alexandersanchez.exemplars11
religion	buddhist	676662	alexandersanchez.exemplars11
relfamily	buddhist: mahayana	676662	alexandersanchez.exemplars11
sex	m	676662	alexandersanchez.exemplars11
residence	sm	676662	alexandersanchez.exemplars11
citizenship	us	676662	alexandersanchez.exemplars11
dayofbirth	.	749943	alexandersanchez.exemplars11
