characteristic	 value	 user_id	 study_name	 
birthyear	1990	14008	alexandersanchez.exemplars10
birthmonth	6	14008	alexandersanchez.exemplars10
sex	f	14008	alexandersanchez.exemplars10
zipcode	0247776	36824	alexandersanchez.exemplars10
religionid	1	36824	alexandersanchez.exemplars10
birthyear	1943	36824	alexandersanchez.exemplars10
occupation	25-9000	36824	alexandersanchez.exemplars10
politicalid	3	36824	alexandersanchez.exemplars10
engfluency	4	36824	alexandersanchez.exemplars10
ethnicity	4	36824	alexandersanchez.exemplars10
income	4	36824	alexandersanchez.exemplars10
class	5	36824	alexandersanchez.exemplars10
birthmonth	9	36824	alexandersanchez.exemplars10
sex	f	36824	alexandersanchez.exemplars10
religion	none	36824	alexandersanchez.exemplars10
citizenship	us	36824	alexandersanchez.exemplars10
religionid	1	199747	alexandersanchez.exemplars10
birthyear	1992	199747	alexandersanchez.exemplars10
education	2	199747	alexandersanchez.exemplars10
politicalid	3	199747	alexandersanchez.exemplars10
engfluency	4	199747	alexandersanchez.exemplars10
ethnicity	5	199747	alexandersanchez.exemplars10
birthmonth	6	199747	alexandersanchez.exemplars10
zipcode	62305	199747	alexandersanchez.exemplars10
income	99	199747	alexandersanchez.exemplars10
occupation	99-9999	199747	alexandersanchez.exemplars10
sex	f	199747	alexandersanchez.exemplars10
religion	none	199747	alexandersanchez.exemplars10
citizenship	us	199747	alexandersanchez.exemplars10
residence	us	199747	alexandersanchez.exemplars10
birthmonth	12	259952	alexandersanchez.exemplars10
birthyear	1957	259952	alexandersanchez.exemplars10
ethnicityomb	2	259952	alexandersanchez.exemplars10
religionid	2	259952	alexandersanchez.exemplars10
occupation	25-4000	259952	alexandersanchez.exemplars10
politicalid	3	259952	alexandersanchez.exemplars10
engfluency	4	259952	alexandersanchez.exemplars10
income	4	259952	alexandersanchez.exemplars10
raceomb	6	259952	alexandersanchez.exemplars10
education	9	259952	alexandersanchez.exemplars10
zipcode	98155	259952	alexandersanchez.exemplars10
religion	episcopal church	259952	alexandersanchez.exemplars10
sex	f	259952	alexandersanchez.exemplars10
citizenship	us	259952	alexandersanchez.exemplars10
residence	us	259952	alexandersanchez.exemplars10
politicalid	1	381342	alexandersanchez.exemplars10
religionid	1	381342	alexandersanchez.exemplars10
birthyear	1963	381342	alexandersanchez.exemplars10
birthmonth	2	381342	alexandersanchez.exemplars10
ethnicityomb	2	381342	alexandersanchez.exemplars10
genoccupation	2931	381342	alexandersanchez.exemplars10
occupation	31-9000	381342	alexandersanchez.exemplars10
dayofbirth	5	381342	alexandersanchez.exemplars10
education	5	381342	alexandersanchez.exemplars10
raceomb	6	381342	alexandersanchez.exemplars10
major	8	381342	alexandersanchez.exemplars10
zipcode	98116	381342	alexandersanchez.exemplars10
relfamily	anglican	381342	alexandersanchez.exemplars10
citizenship	ca	381342	alexandersanchez.exemplars10
reldenom	church of ireland	381342	alexandersanchez.exemplars10
sex	f	381342	alexandersanchez.exemplars10
religion	protestant	381342	alexandersanchez.exemplars10
residence	us	381342	alexandersanchez.exemplars10
politicalid	-2	475494	alexandersanchez.exemplars10
birthyear	1969	475494	alexandersanchez.exemplars10
birthmonth	2	475494	alexandersanchez.exemplars10
ethnicityomb	2	475494	alexandersanchez.exemplars10
major	2	475494	alexandersanchez.exemplars10
dayofbirth	28	475494	alexandersanchez.exemplars10
religionid	3	475494	alexandersanchez.exemplars10
genoccupation	41	475494	alexandersanchez.exemplars10
occupation	41-3000	475494	alexandersanchez.exemplars10
raceomb	6	475494	alexandersanchez.exemplars10
education	7	475494	alexandersanchez.exemplars10
zipcode	75077	475494	alexandersanchez.exemplars10
religion	catholic	475494	alexandersanchez.exemplars10
sex	m	475494	alexandersanchez.exemplars10
relfamily	roman catholic	475494	alexandersanchez.exemplars10
residence	sm	475494	alexandersanchez.exemplars10
citizenship	us	475494	alexandersanchez.exemplars10
dayofbirth	.	697316	alexandersanchez.exemplars10
religionid	1	697316	alexandersanchez.exemplars10
birthmonth	11	697316	alexandersanchez.exemplars10
zipcode	17019	697316	alexandersanchez.exemplars10
birthyear	1982	697316	alexandersanchez.exemplars10
ethnicityomb	2	697316	alexandersanchez.exemplars10
major	3	697316	alexandersanchez.exemplars10
politicalid	3	697316	alexandersanchez.exemplars10
genoccupation	41	697316	alexandersanchez.exemplars10
occupation	41-2000	697316	alexandersanchez.exemplars10
raceomb	6	697316	alexandersanchez.exemplars10
education	7	697316	alexandersanchez.exemplars10
relfamily	atheist	697316	alexandersanchez.exemplars10
sex	f	697316	alexandersanchez.exemplars10
religion	none	697316	alexandersanchez.exemplars10
citizenship	us	697316	alexandersanchez.exemplars10
residence	us	697316	alexandersanchez.exemplars10
dayofbirth	.	704407	alexandersanchez.exemplars10
sex	.	704407	alexandersanchez.exemplars10
religionid	1	704407	alexandersanchez.exemplars10
birthyear	1963	704407	alexandersanchez.exemplars10
ethnicityomb	2	704407	alexandersanchez.exemplars10
genoccupation	25	704407	alexandersanchez.exemplars10
occupation	25-3000	704407	alexandersanchez.exemplars10
politicalid	3	704407	alexandersanchez.exemplars10
major	5	704407	alexandersanchez.exemplars10
zipcode	50613	704407	alexandersanchez.exemplars10
birthmonth	6	704407	alexandersanchez.exemplars10
raceomb	6	704407	alexandersanchez.exemplars10
education	9	704407	alexandersanchez.exemplars10
religion	none	704407	alexandersanchez.exemplars10
residence	sm	704407	alexandersanchez.exemplars10
relfamily	spiritual, no organized religion	704407	alexandersanchez.exemplars10
citizenship	us	704407	alexandersanchez.exemplars10
dayofbirth	.	954979	alexandersanchez.exemplars10
ethnicityomb	1	954979	alexandersanchez.exemplars10
birthmonth	11	954979	alexandersanchez.exemplars10
birthyear	1974	954979	alexandersanchez.exemplars10
politicalid	2	954979	alexandersanchez.exemplars10
genoccupation	25	954979	alexandersanchez.exemplars10
occupation	25-5000	954979	alexandersanchez.exemplars10
religionid	4	954979	alexandersanchez.exemplars10
major	5	954979	alexandersanchez.exemplars10
zipcode	76180	954979	alexandersanchez.exemplars10
raceomb	8	954979	alexandersanchez.exemplars10
education	9	954979	alexandersanchez.exemplars10
religion	catholic	954979	alexandersanchez.exemplars10
sex	f	954979	alexandersanchez.exemplars10
relfamily	roman catholic	954979	alexandersanchez.exemplars10
residence	sm	954979	alexandersanchez.exemplars10
citizenship	us	954979	alexandersanchez.exemplars10
dayofbirth	.	1042447	alexandersanchez.exemplars10
religionid	1	1042447	alexandersanchez.exemplars10
major	10	1042447	alexandersanchez.exemplars10
birthyear	1985	1042447	alexandersanchez.exemplars10
genoccupation	25-9999	1042447	alexandersanchez.exemplars10
occupation	25-9999	1042447	alexandersanchez.exemplars10
ethnicityomb	3	1042447	alexandersanchez.exemplars10
politicalid	3	1042447	alexandersanchez.exemplars10
zipcode	48170	1042447	alexandersanchez.exemplars10
raceomb	6	1042447	alexandersanchez.exemplars10
birthmonth	8	1042447	alexandersanchez.exemplars10
education	9	1042447	alexandersanchez.exemplars10
relfamily	atheist	1042447	alexandersanchez.exemplars10
sex	f	1042447	alexandersanchez.exemplars10
religion	none	1042447	alexandersanchez.exemplars10
residence	sm	1042447	alexandersanchez.exemplars10
citizenship	us	1042447	alexandersanchez.exemplars10
