characteristic	 value	 user_id	 study_name	 
birthmonth	1	52447	alexandersanchez.exemplars6
politicalid	1	52447	alexandersanchez.exemplars6
birthyear	1952	52447	alexandersanchez.exemplars6
zipcode	22207	52447	alexandersanchez.exemplars6
religionid	3	52447	alexandersanchez.exemplars6
class	4	52447	alexandersanchez.exemplars6
engfluency	4	52447	alexandersanchez.exemplars6
occupation	41-9000	52447	alexandersanchez.exemplars6
ethnicity	5	52447	alexandersanchez.exemplars6
income	5	52447	alexandersanchez.exemplars6
sex	f	52447	alexandersanchez.exemplars6
religion	roman catholic church, the	52447	alexandersanchez.exemplars6
citizenship	us	52447	alexandersanchez.exemplars6
income	1	195439	alexandersanchez.exemplars6
politicalid	1	195439	alexandersanchez.exemplars6
religionid	1	195439	alexandersanchez.exemplars6
birthmonth	11	195439	alexandersanchez.exemplars6
birthyear	1980	195439	alexandersanchez.exemplars6
occupation	25-9999	195439	alexandersanchez.exemplars6
engfluency	4	195439	alexandersanchez.exemplars6
ethnicity	5	195439	alexandersanchez.exemplars6
education	8	195439	alexandersanchez.exemplars6
zipcode	94110	195439	alexandersanchez.exemplars6
sex	f	195439	alexandersanchez.exemplars6
religion	none	195439	alexandersanchez.exemplars6
citizenship	us	195439	alexandersanchez.exemplars6
residence	us	195439	alexandersanchez.exemplars6
birthyear	1986	322445	alexandersanchez.exemplars6
ethnicityomb	2	322445	alexandersanchez.exemplars6
politicalid	2	322445	alexandersanchez.exemplars6
religionid	2	322445	alexandersanchez.exemplars6
zipcode	29403	322445	alexandersanchez.exemplars6
engfluency	3	322445	alexandersanchez.exemplars6
raceomb	6	322445	alexandersanchez.exemplars6
birthmonth	7	322445	alexandersanchez.exemplars6
education	7	322445	alexandersanchez.exemplars6
income	99	322445	alexandersanchez.exemplars6
occupation	99-9999	322445	alexandersanchez.exemplars6
religion	atheist	322445	alexandersanchez.exemplars6
citizenship	de	322445	alexandersanchez.exemplars6
sex	m	322445	alexandersanchez.exemplars6
residence	us	322445	alexandersanchez.exemplars6
dayofbirth	.	829536	alexandersanchez.exemplars6
politicalid	0	829536	alexandersanchez.exemplars6
birthmonth	10	829536	alexandersanchez.exemplars6
birthyear	1992	829536	alexandersanchez.exemplars6
ethnicityomb	2	829536	alexandersanchez.exemplars6
zipcode	21620	829536	alexandersanchez.exemplars6
genoccupation	2931	829536	alexandersanchez.exemplars6
religionid	3	829536	alexandersanchez.exemplars6
occupation	31-1000	829536	alexandersanchez.exemplars6
education	5	829536	alexandersanchez.exemplars6
raceomb	5	829536	alexandersanchez.exemplars6
major	7	829536	alexandersanchez.exemplars6
sex	f	829536	alexandersanchez.exemplars6
relfamily	nondenominational	829536	alexandersanchez.exemplars6
reldenom	nondenominational church	829536	alexandersanchez.exemplars6
religion	protestant	829536	alexandersanchez.exemplars6
residence	sm	829536	alexandersanchez.exemplars6
citizenship	us	829536	alexandersanchez.exemplars6
politicalid	-1	836073	alexandersanchez.exemplars6
dayofbirth	.	836073	alexandersanchez.exemplars6
zipcode	02148	836073	alexandersanchez.exemplars6
major	13	836073	alexandersanchez.exemplars6
birthyear	1964	836073	alexandersanchez.exemplars6
ethnicityomb	2	836073	alexandersanchez.exemplars6
genoccupation	25	836073	alexandersanchez.exemplars6
occupation	25-4000	836073	alexandersanchez.exemplars6
religionid	3	836073	alexandersanchez.exemplars6
raceomb	6	836073	alexandersanchez.exemplars6
birthmonth	8	836073	alexandersanchez.exemplars6
education	9	836073	alexandersanchez.exemplars6
reldenom	evangelical lutheran	836073	alexandersanchez.exemplars6
relfamily	lutheran	836073	alexandersanchez.exemplars6
sex	m	836073	alexandersanchez.exemplars6
religion	protestant	836073	alexandersanchez.exemplars6
residence	sm	836073	alexandersanchez.exemplars6
citizenship	us	836073	alexandersanchez.exemplars6
dayofbirth	.	10424131	alexandersanchez.exemplars6
ethnicityomb	1	10424131	alexandersanchez.exemplars6
birthyear	1985	10424131	alexandersanchez.exemplars6
politicalid	2	10424131	alexandersanchez.exemplars6
religionid	2	10424131	alexandersanchez.exemplars6
zipcode	20601	10424131	alexandersanchez.exemplars6
genoccupation	23	10424131	alexandersanchez.exemplars6
occupation	23-9999	10424131	alexandersanchez.exemplars6
major	4	10424131	alexandersanchez.exemplars6
birthmonth	5	10424131	alexandersanchez.exemplars6
education	6	10424131	alexandersanchez.exemplars6
raceomb	6	10424131	alexandersanchez.exemplars6
