session_id	 task_number	 task_id	 task_url	 user_agent	 study_url	 task_status	 task_sequence	 task_creation_date	user_id	 study_name	 session_date	 session_status	 session_creation_date	 session_created_by	 session_last_update_date 
14441047	0	pimgr	/common/all/js/minnojs/0.3.jsp?i=/implicit//user/alexandersanchez/exemplars6/exemplars6.mgr.js&	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:35:54	11726784	alexandersanchez.exemplars6	04Jun2021 14:35:53	null	04Jun2021 14:35:53	YUIAT_RESEARCH_USER	NULL 
14441047	1	consent	consent.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:35:55	11726784	alexandersanchez.exemplars6	04Jun2021 14:35:53	null	04Jun2021 14:35:53	YUIAT_RESEARCH_USER	NULL 
14441047	2	realstart	realstart.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:36:02	11726784	alexandersanchez.exemplars6	04Jun2021 14:35:53	null	04Jun2021 14:35:53	YUIAT_RESEARCH_USER	NULL 
14441047	3	control_intro	control_intro.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:36:18	11726784	alexandersanchez.exemplars6	04Jun2021 14:35:53	null	04Jun2021 14:35:53	YUIAT_RESEARCH_USER	NULL 
14441051	0	pimgr	/common/all/js/minnojs/0.3.jsp?i=/implicit//user/alexandersanchez/exemplars6/exemplars6.mgr.js&	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:37:02	11726808	alexandersanchez.exemplars6	04Jun2021 14:37:02	null	04Jun2021 14:37:02	YUIAT_RESEARCH_USER	NULL 
14441051	1	consent	consent.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:37:02	11726808	alexandersanchez.exemplars6	04Jun2021 14:37:02	null	04Jun2021 14:37:02	YUIAT_RESEARCH_USER	NULL 
14441051	2	realstart	realstart.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:37:12	11726808	alexandersanchez.exemplars6	04Jun2021 14:37:02	null	04Jun2021 14:37:02	YUIAT_RESEARCH_USER	NULL 
14441051	3	exp_intro	exp_intro.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:37:28	11726808	alexandersanchez.exemplars6	04Jun2021 14:37:02	null	04Jun2021 14:37:02	YUIAT_RESEARCH_USER	NULL 
14441051	4	exp_attention	exp_attention.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:37:50	11726808	alexandersanchez.exemplars6	04Jun2021 14:37:02	null	04Jun2021 14:37:02	YUIAT_RESEARCH_USER	NULL 
14441051	5	exp_learn	exp_learn.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:38:13	11726808	alexandersanchez.exemplars6	04Jun2021 14:37:02	null	04Jun2021 14:37:02	YUIAT_RESEARCH_USER	NULL 
14441052	0	pimgr	/common/all/js/minnojs/0.3.jsp?i=/implicit//user/alexandersanchez/exemplars6/exemplars6.mgr.js&	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.37	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:37:34	322445	alexandersanchez.exemplars6	04Jun2021 14:37:34	null	04Jun2021 14:37:34	YUIAT_RESEARCH_USER	NULL 
14441052	1	consent	consent.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.37	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:37:35	322445	alexandersanchez.exemplars6	04Jun2021 14:37:34	null	04Jun2021 14:37:34	YUIAT_RESEARCH_USER	NULL 
14441052	2	realstart	realstart.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.37	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:37:43	322445	alexandersanchez.exemplars6	04Jun2021 14:37:34	null	04Jun2021 14:37:34	YUIAT_RESEARCH_USER	NULL 
14441052	3	exp_intro	exp_intro.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.37	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:38:06	322445	alexandersanchez.exemplars6	04Jun2021 14:37:34	null	04Jun2021 14:37:34	YUIAT_RESEARCH_USER	NULL 
14441052	4	exp_attention	exp_attention.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.37	/user/alexandersanchez/exemplars6/alexandersanchez.exemplars6.expt.xml	null	null	04Jun2021 14:38:10	322445	alexandersanchez.exemplars6	04Jun2021 14:37:34	null	04Jun2021 14:37:34	YUIAT_RESEARCH_USER	NULL 
