characteristic	 value	 user_id	 study_name	 
birthyear	1959	131488	alexandersanchez.exemplars4
birthmonth	2	131488	alexandersanchez.exemplars4
politicalid	2	131488	alexandersanchez.exemplars4
occupation	25-9000	131488	alexandersanchez.exemplars4
religionid	3	131488	alexandersanchez.exemplars4
engfluency	4	131488	alexandersanchez.exemplars4
income	4	131488	alexandersanchez.exemplars4
zipcode	43227	131488	alexandersanchez.exemplars4
ethnicity	5	131488	alexandersanchez.exemplars4
education	9	131488	alexandersanchez.exemplars4
sex	m	131488	alexandersanchez.exemplars4
religion	mennonite church	131488	alexandersanchez.exemplars4
citizenship	us	131488	alexandersanchez.exemplars4
residence	us	131488	alexandersanchez.exemplars4
politicalid	0	532825	alexandersanchez.exemplars4
zipcode	04563060	532825	alexandersanchez.exemplars4
ethnicityomb	1	532825	alexandersanchez.exemplars4
religionid	1	532825	alexandersanchez.exemplars4
birthmonth	10	532825	alexandersanchez.exemplars4
genoccupation	11	532825	alexandersanchez.exemplars4
occupation	11-9000	532825	alexandersanchez.exemplars4
dayofbirth	12	532825	alexandersanchez.exemplars4
birthyear	1975	532825	alexandersanchez.exemplars4
major	2	532825	alexandersanchez.exemplars4
raceomb	6	532825	alexandersanchez.exemplars4
education	9	532825	alexandersanchez.exemplars4
citizenship	br	532825	alexandersanchez.exemplars4
residence	br	532825	alexandersanchez.exemplars4
religion	catholic	532825	alexandersanchez.exemplars4
sex	f	532825	alexandersanchez.exemplars4
relfamily	roman catholic	532825	alexandersanchez.exemplars4
politicalid	-1	10134971	alexandersanchez.exemplars4
dayofbirth	.	10134971	alexandersanchez.exemplars4
birthyear	1976	10134971	alexandersanchez.exemplars4
ethnicityomb	2	10134971	alexandersanchez.exemplars4
religionid	2	10134971	alexandersanchez.exemplars4
zipcode	21046	10134971	alexandersanchez.exemplars4
birthmonth	4	10134971	alexandersanchez.exemplars4
major	4	10134971	alexandersanchez.exemplars4
genoccupation	43	10134971	alexandersanchez.exemplars4
occupation	43-5000	10134971	alexandersanchez.exemplars4
education	5	10134971	alexandersanchez.exemplars4
raceomb	6	10134971	alexandersanchez.exemplars4
sex	m	10134971	alexandersanchez.exemplars4
religion	none	10134971	alexandersanchez.exemplars4
relfamily	other non-religious	10134971	alexandersanchez.exemplars4
residence	sm	10134971	alexandersanchez.exemplars4
citizenship	us	10134971	alexandersanchez.exemplars4
dayofbirth	.	10235331	alexandersanchez.exemplars4
relfamily	.	10235331	alexandersanchez.exemplars4
major	1	10235331	alexandersanchez.exemplars4
religionid	1	10235331	alexandersanchez.exemplars4
birthmonth	12	10235331	alexandersanchez.exemplars4
zipcode	19095	10235331	alexandersanchez.exemplars4
birthyear	1969	10235331	alexandersanchez.exemplars4
ethnicityomb	2	10235331	alexandersanchez.exemplars4
politicalid	2	10235331	alexandersanchez.exemplars4
genoccupation	25	10235331	alexandersanchez.exemplars4
raceomb	6	10235331	alexandersanchez.exemplars4
education	9	10235331	alexandersanchez.exemplars4
sex	m	10235331	alexandersanchez.exemplars4
religion	none	10235331	alexandersanchez.exemplars4
citizenship	us	10235331	alexandersanchez.exemplars4
residence	us	10235331	alexandersanchez.exemplars4
politicalid	-1	10510588	alexandersanchez.exemplars4
dayofbirth	.	10510588	alexandersanchez.exemplars4
relfamily	.	10510588	alexandersanchez.exemplars4
birthyear	1963	10510588	alexandersanchez.exemplars4
ethnicityomb	2	10510588	alexandersanchez.exemplars4
major	2	10510588	alexandersanchez.exemplars4
genoccupation	23	10510588	alexandersanchez.exemplars4
religionid	3	10510588	alexandersanchez.exemplars4
zipcode	49417-9405	10510588	alexandersanchez.exemplars4
birthmonth	5	10510588	alexandersanchez.exemplars4
education	5	10510588	alexandersanchez.exemplars4
raceomb	6	10510588	alexandersanchez.exemplars4
sex	f	10510588	alexandersanchez.exemplars4
religion	otherrelig	10510588	alexandersanchez.exemplars4
citizenship	us	10510588	alexandersanchez.exemplars4
residence	us	10510588	alexandersanchez.exemplars4
dayofbirth	.	10525836	alexandersanchez.exemplars4
relfamily	.	10525836	alexandersanchez.exemplars4
major	10	10525836	alexandersanchez.exemplars4
birthmonth	12	10525836	alexandersanchez.exemplars4
education	12	10525836	alexandersanchez.exemplars4
genoccupation	19	10525836	alexandersanchez.exemplars4
birthyear	1965	10525836	alexandersanchez.exemplars4
ethnicityomb	2	10525836	alexandersanchez.exemplars4
politicalid	2	10525836	alexandersanchez.exemplars4
raceomb	2	10525836	alexandersanchez.exemplars4
religionid	2	10525836	alexandersanchez.exemplars4
zipcode	74136	10525836	alexandersanchez.exemplars4
citizenship	ca	10525836	alexandersanchez.exemplars4
sex	f	10525836	alexandersanchez.exemplars4
religion	protestant	10525836	alexandersanchez.exemplars4
residence	us	10525836	alexandersanchez.exemplars4
dayofbirth	.	10738499	alexandersanchez.exemplars4
politicalid	1	10738499	alexandersanchez.exemplars4
birthmonth	10	10738499	alexandersanchez.exemplars4
genoccupation	13	10738499	alexandersanchez.exemplars4
occupation	13-2000	10738499	alexandersanchez.exemplars4
birthyear	1948	10738499	alexandersanchez.exemplars4
ethnicityomb	2	10738499	alexandersanchez.exemplars4
major	2	10738499	alexandersanchez.exemplars4
religionid	2	10738499	alexandersanchez.exemplars4
education	5	10738499	alexandersanchez.exemplars4
raceomb	6	10738499	alexandersanchez.exemplars4
zipcode	90746	10738499	alexandersanchez.exemplars4
relfamily	baptist	10738499	alexandersanchez.exemplars4
reldenom	baptist general conference	10738499	alexandersanchez.exemplars4
sex	f	10738499	alexandersanchez.exemplars4
religion	protestant	10738499	alexandersanchez.exemplars4
residence	sm	10738499	alexandersanchez.exemplars4
citizenship	us	10738499	alexandersanchez.exemplars4
dayofbirth	.	10786349	alexandersanchez.exemplars4
relfamily	.	10786349	alexandersanchez.exemplars4
politicalid	0	10786349	alexandersanchez.exemplars4
zipcode	07052	10786349	alexandersanchez.exemplars4
education	14	10786349	alexandersanchez.exemplars4
birthyear	1968	10786349	alexandersanchez.exemplars4
ethnicityomb	2	10786349	alexandersanchez.exemplars4
major	2	10786349	alexandersanchez.exemplars4
religionid	3	10786349	alexandersanchez.exemplars4
genoccupation	41	10786349	alexandersanchez.exemplars4
occupation	41-9000	10786349	alexandersanchez.exemplars4
raceomb	5	10786349	alexandersanchez.exemplars4
birthmonth	9	10786349	alexandersanchez.exemplars4
sex	f	10786349	alexandersanchez.exemplars4
religion	otherrelig	10786349	alexandersanchez.exemplars4
residence	sm	10786349	alexandersanchez.exemplars4
citizenship	us	10786349	alexandersanchez.exemplars4
dayofbirth	.	10806032	alexandersanchez.exemplars4
ethnicityomb	.	10806032	alexandersanchez.exemplars4
religionid	.	10806032	alexandersanchez.exemplars4
residence	.	10806032	alexandersanchez.exemplars4
genoccupation	11	10806032	alexandersanchez.exemplars4
occupation	11-9000	10806032	alexandersanchez.exemplars4
birthyear	1956	10806032	alexandersanchez.exemplars4
politicalid	2	10806032	alexandersanchez.exemplars4
zipcode	20678	10806032	alexandersanchez.exemplars4
birthmonth	5	10806032	alexandersanchez.exemplars4
raceomb	6	10806032	alexandersanchez.exemplars4
education	7	10806032	alexandersanchez.exemplars4
major	9	10806032	alexandersanchez.exemplars4
sex	f	10806032	alexandersanchez.exemplars4
relfamily	methodist	10806032	alexandersanchez.exemplars4
religion	protestant	10806032	alexandersanchez.exemplars4
reldenom	united methodist	10806032	alexandersanchez.exemplars4
citizenship	us	10806032	alexandersanchez.exemplars4
dayofbirth	.	10856864	alexandersanchez.exemplars4
relfamily	.	10856864	alexandersanchez.exemplars4
major	11	10856864	alexandersanchez.exemplars4
birthyear	1972	10856864	alexandersanchez.exemplars4
