characteristic	 value	 user_id	 study_name	 
relfamily	spiritual, no organized religion	11042007	alexandersanchez.exemplarsrep2
citizenship	us	11042007	alexandersanchez.exemplarsrep2
dayofbirth	.	11215507	alexandersanchez.exemplarsrep2
relfamily	.	11215507	alexandersanchez.exemplarsrep2
religionid	.	11215507	alexandersanchez.exemplarsrep2
birthyear	1983	11215507	alexandersanchez.exemplarsrep2
ethnicityomb	2	11215507	alexandersanchez.exemplarsrep2
major	2	11215507	alexandersanchez.exemplarsrep2
genoccupation	21	11215507	alexandersanchez.exemplarsrep2
occupation	21-9999	11215507	alexandersanchez.exemplarsrep2
politicalid	3	11215507	alexandersanchez.exemplarsrep2
zipcode	59801	11215507	alexandersanchez.exemplarsrep2
raceomb	6	11215507	alexandersanchez.exemplarsrep2
education	7	11215507	alexandersanchez.exemplarsrep2
birthmonth	9	11215507	alexandersanchez.exemplarsrep2
sex	f	11215507	alexandersanchez.exemplarsrep2
religion	none	11215507	alexandersanchez.exemplarsrep2
citizenship	us	11215507	alexandersanchez.exemplarsrep2
residence	us	11215507	alexandersanchez.exemplarsrep2
dayofbirth	.	11377384	alexandersanchez.exemplarsrep2
genoccupation	.	11377384	alexandersanchez.exemplarsrep2
politicalid	.	11377384	alexandersanchez.exemplarsrep2
religion	.	11377384	alexandersanchez.exemplarsrep2
religionid	.	11377384	alexandersanchez.exemplarsrep2
education	13	11377384	alexandersanchez.exemplarsrep2
birthyear	1976	11377384	alexandersanchez.exemplarsrep2
ethnicityomb	2	11377384	alexandersanchez.exemplarsrep2
zipcode	40223	11377384	alexandersanchez.exemplarsrep2
birthmonth	5	11377384	alexandersanchez.exemplarsrep2
major	5	11377384	alexandersanchez.exemplarsrep2
raceomb	6	11377384	alexandersanchez.exemplarsrep2
sex	m	11377384	alexandersanchez.exemplarsrep2
citizenship	us	11377384	alexandersanchez.exemplarsrep2
residence	us	11377384	alexandersanchez.exemplarsrep2
politicalid	-1	11511165	alexandersanchez.exemplarsrep2
dayofbirth	.	11511165	alexandersanchez.exemplarsrep2
religionid	1	11511165	alexandersanchez.exemplarsrep2
birthmonth	10	11511165	alexandersanchez.exemplarsrep2
ethnicityomb	2	11511165	alexandersanchez.exemplarsrep2
birthyear	2000	11511165	alexandersanchez.exemplarsrep2
genoccupation	2931	11511165	alexandersanchez.exemplarsrep2
occupation	31-1000	11511165	alexandersanchez.exemplarsrep2
education	5	11511165	alexandersanchez.exemplarsrep2
zipcode	53523	11511165	alexandersanchez.exemplarsrep2
